Original filename,Website filename
DSC_0207.JPG,2018-01-02-japan-ash-skiing-powder-in-naeba-trees.jpg
IMG_2066.JPG,2023-12-06-japan-ash-instructor-training-group-celebrating-on-mountain.jpg
IMG_8058.JPG,2025-03-18-japan-ash-with-ski-group-in-niseko.jpg
Ash-Niseko.JPG,2025-03-20-japan-ash-skiing-with-young-guest-in-niseko.jpg
IMG_0816.JPG,2025-06-13-new-zealand-ash-with-ski-group-in-southern-alps.jpg
IMG_0812.JPG,2025-06-13-new-zealand-skiers-celebrating-on-alpine-ridge.jpg
IMG_1115.JPG,2025-06-29-new-zealand-ash-with-young-race-athletes.jpg
IMG_1161.JPG,2025-06-30-new-zealand-ash-coaching-young-skiers.jpg
IMG_1232.JPG,2025-07-05-new-zealand-ash-with-race-training-group.jpg
IMG_1586.JPG,2025-07-17-new-zealand-ash-with-athlete-on-mountain.jpg
Ash Backcountry.JPG,2025-08-13-new-zealand-ash-backcountry-ski-touring.jpg
IMG_2877.JPG,2025-09-07-new-zealand-ash-portrait-in-southern-alps.jpg
IMG_2973.JPG,2025-09-08-new-zealand-ash-on-southern-alps-summit.jpg
IMG_7480.JPG,2025-09-27-new-zealand-ski-race-podium-celebration.jpg
IMG_8792.JPG,2025-12-26-japan-ash-at-hanazono-park-hyatt-in-snow.jpg
IMG_8774.JPG,2025-12-26-japan-ash-profile-in-niseko.jpg
IMG_8808.JPG,2025-12-26-japan-ash-with-guests-at-hanazono-bells.jpg
IMG_8883.JPG,2025-12-27-japan-ash-with-snowboard-guest.jpg
IMG_8094.PNG,2026-00-00-japan-niseko-fox-artwork.jpg
IMG_9111.JPG,2026-01-01-japan-ash-with-ski-guest-on-chairlift.jpg
IMG_9479.JPG,2026-01-08-japan-ash-and-guest-in-niseko-powder.jpg
IMG_9770.JPG,2026-01-15-japan-ash-with-guests-toasting-marshmallows.jpg
IMG_0098.JPG,2026-01-21-japan-ash-at-mountain-torii-gate.jpg
IMG_0089.JPG,2026-01-21-japan-ash-with-powder-ski-guests.jpg
IMG_0227.JPG,2026-01-23-japan-ash-on-backcountry-ridge-shiribetsu.jpg
IMG_0302.JPG,2026-01-23-japan-skier-in-backcountry.jpg
202602 PSIE L4 Results.jpg,2026-02-00-unknown-psie-level-4-instructor-group.jpg
IMG_0796.JPG,2026-02-05-japan-ash-with-ski-guest.jpg
IMG_0801.JPG,2026-02-05-japan-backcountry-touring-group-on-niseko-annupuri.jpg
IMG_0773.JPG,2026-02-05-japan-powder-ski-group.jpg
Ash-Rusutsu.JPG,2026-02-11-japan-ash-and-guests-at-rusutsu-summit.jpg
IMG_2264.JPG,2026-02-25-japan-ash-portrait-with-mount-yotei.jpg
IMG_2317.JPG,2026-02-25-japan-skier-on-open-snowfield.jpg
IMG_2353.JPG,2026-02-26-japan-skier-riding-chairlift.jpg
IMG_2523.JPG,2026-03-05-japan-ash-with-ski-guest-on-chairlift.jpg
IMG_2595.JPG,2026-03-06-japan-ash-portrait-in-hokkaido-mountains.jpg
IMG_2869.JPG,2026-03-11-japan-ski-coaching-in-the-trees.jpg
IMG_2947.JPG,2026-03-14-japan-ash-with-ski-group-at-resort.jpg
IMG_3121.JPG,2026-03-18-japan-ash-beside-mountain-lift.jpg
IMG_3290.JPG,2026-03-20-japan-ash-portrait-with-mount-yotei.jpg
IMG_3291.JPG,2026-03-20-japan-ash-ski-portrait-with-mount-yotei.jpg
IMG_3292.JPG,2026-03-20-japan-ash-with-ski-guest-and-mount-yotei.jpg
IMG_5065.JPG,2026-05-09-new-zealand-ash-hiking-in-southern-alps.jpg
IMG_5130.JPG,2026-05-10-new-zealand-ash-trail-running-in-mountains.jpg
IMG_5974.JPG,2026-05-29-new-zealand-ash-strength-training.jpg
IMG_7102.JPG,2026-06-27-new-zealand-ash-hiking-in-new-zealand-mountains.jpg
202607 QAST Team.jpg,2026-07-00-new-zealand-qast-race-team-group.jpg
IMG_7480 (1).JPG,2026-07-10-new-zealand-ash-on-snow-at-sunrise.jpg
Ash-Qast-Raceteam.JPG,2026-07-16-new-zealand-qast-race-team-at-sunset.jpg
Ash-Tuning.JPG,2026-07-19-new-zealand-ash-tuning-skis.jpg
Ash-Qast-Lake.JPG,2026-07-25-new-zealand-ash-coaching-qast-athletes.jpg
IMG_8345.JPG,2026-08-01-new-zealand-qast-race-event-group.jpg
IMG_8370.JPG,2026-08-03-new-zealand-ash-ski-portrait-in-southern-alps.jpg
Ash Qast at Remakrs.jpg,2026-08-25-new-zealand-ash-qast-race-coaching.jpg
